Product,Version,Supplier,License URL,Homepage URL,Download URL,License Proof URL,Link Type,License Name
logback-classic,1.2.10,QOS.ch,https://www.gnu.org/licenses/lgpl-2.1,http://www.qos.ch,https://mvnrepository.com/artifact/ch.qos.logback/logback-classic/1.2.10,https://mvnrepository.com/artifact/ch.qos.logback/logback-classic/1.2.10,Dynamic,GNU LESSER GENERAL PUBLIC LICENSE; Version 2.1
logback-core,1.2.10,QOS.ch,https://www.gnu.org/licenses/lgpl-2.1,http://www.qos.ch,https://mvnrepository.com/artifact/ch.qos.logback/logback-core/1.2.10,https://mvnrepository.com/artifact/ch.qos.logback/logback-core/1.2.10,Dynamic,GNU LESSER GENERAL PUBLIC LICENSE; Version 2.1
kryo,2.24.0,,https://opensource.org/licenses/BSD-2-Clause,https://github.com/EsotericSoftware/kryo,https://mvnrepository.com/artifact/com.esotericsoftware.kryo/kryo/2.24.0,https://mvnrepository.com/artifact/com.esotericsoftware.kryo/kryo/2.24.0,Dynamic,The 2-Clause BSD License
minlog,1.2,,https://opensource.org/licenses/BSD-2-Clause,http://code.google.com/p/minlog/,https://mvnrepository.com/artifact/com.esotericsoftware.minlog/minlog/1.2,https://mvnrepository.com/artifact/com.esotericsoftware.minlog/minlog/1.2,Dynamic,The 2-Clause BSD License
classmate,1.5.1,fasterxml.com,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/FasterXML/java-classmate,https://mvnrepository.com/artifact/com.fasterxml/classmate/1.5.1,https://mvnrepository.com/artifact/com.fasterxml/classmate/1.5.1,Dynamic,Apache License; Version 2.0
jackson-bom,2.13.1,,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/FasterXML/jackson-bom,https://mvnrepository.com/artifact/com.fasterxml.jackson/jackson-bom/2.13.1,https://mvnrepository.com/artifact/com.fasterxml.jackson/jackson-bom/2.13.1,Dynamic,Apache License; Version 2.0
jackson-annotations,2.12.1,FasterXML,https://www.apache.org/licenses/LICENSE-2.0,http://github.com/FasterXML/jackson,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.12.1,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.12.1,Dynamic,Apache License; Version 2.0
jackson-annotations,2.13.1,FasterXML,https://www.apache.org/licenses/LICENSE-2.0,http://github.com/FasterXML/jackson,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.13.1,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.13.1,Dynamic,Apache License; Version 2.0
jackson-core,2.12.1,FasterXML,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/FasterXML/jackson-core,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core/2.12.1,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core/2.12.1,Dynamic,Apache License; Version 2.0
jackson-core,2.13.1,FasterXML,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/FasterXML/jackson-core,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core/2.13.1,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core/2.13.1,Dynamic,Apache License; Version 2.0
jackson-databind,2.12.1,FasterXML,https://www.apache.org/licenses/LICENSE-2.0,http://github.com/FasterXML/jackson,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind/2.12.1,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind/2.12.1,Dynamic,Apache License; Version 2.0
